Topic,Count,Name,Representation,Representative_Docs
1,76,1_touch_cable_touching_close,"['touch', 'cable', 'touching', 'close', 'closer', 'skin', 'proximity', 'wire', 'floor', 'youre']","['also lot setting cable find cable great white clean room cable said contemporary performance', 'least one least one floor also thats something also working balance seems work pretty decent thats also something trivial least raising one foot system still work decently raise signal cut', 'understand problem thing especially youre sitting knee close even feel last question relates development wireless version fully ready yet work pretty decently could problem especially saw using system bracelet anymore something put shoe shoe reason touch floor system basically sensor doesnt work connected floor somehow connection two antenna let work thanks floor crazy thing dont whats exactly anyway first way especially dancer raise foot air screw signal anyway']"
2,56,2_feeling_body_feel_emotion,"['feeling', 'body', 'feel', 'emotion', 'bodily', 'body feeling', 'bit', 'perception', 'kind', 'strong']","['experiencing sense overwhelm thats something experience life feeling quite stimulated sound knowing kind ground way experiencing body quite introspective level right bring pattern see life there there pause sec feel kind little bit maybe there little layer shame around quite strong reaction something maybe id collaborate work yet there strong reaction sure mean give bit go away level impatience there there feel inner process yet there wish understand process brings brings', 'planning question body feeling mean different feeling every emotional body depends usually focused still get focused emotion much whats happening body example could also definitely moment joy playing remember one moment bracelet also kira coming closer accidentally touched getting big sound funny meant touch didnt feel strong sound strong remember laughing moment laughing definitely lot joy feeling way acknowledging whats happening body', 'next next question sentire exploring body feeling orderly body perception connected kind feeling want even emotion stick feeling level kind disconnection kind connexion usage sentire quick reminder mentioned feel something stomach heart opening using system example kind thing bodily feeling connected body perception connected']"
3,56,3_want_able_bring_bing,"['want', 'able', 'bring', 'bing', 'choosing', 'need', 'stuff', 'wish', 'kind', 'bringing']","['want something', 'something able accept able get', 'come carry u powerful collection experience stuff stuff sorry']"
4,46,4_work_working_practise_research,"['work', 'working', 'practise', 'research', 'youre', 'said', 'exactly', 'correct', 'maybe', 'change']","['food two important thing somehow especially one totally missed last time one going data youre providing data considered sensitive meaning mean said going recorded keep kept sensitive sensitive mean going going access information phd supervisor dimni interview transcribed name speaker one speaker two possibility said part information used quote probably paper', 'publish related research possibly also part research project whether format paper kind research publishing also case name speak speaker number quote said youre important youre case example mario already mentioned something said last night would maybe remove correct time youre welcome whether tell please part whether true change mind correct next interview also later also write well thats', 'also understand concern especially kind people professional working body perception body movement relationship others probably bit disorientating understand dont still another quality away maybe mentioning speed dont see faster slow matter faster slower matter something different hopefully offering something already giving another access especially people professional working hope normal average person system give hint work time hope motivation work system well working dont']"
5,35,5_question_answer_answer question_question question,"['question', 'answer', 'answer question', 'question question', 'repeat', 'want', 'time', 'reiterate question', 'question related', 'reiterate']","['question', 'one one last question', 'meanwhile less question']"
6,26,6_thats thats_thats thats thats_exactly_correct,"['thats thats', 'thats thats thats', 'exactly', 'correct', 'thats way exactly', 'way exactly', 'thats fine thats', 'thats way', 'right correct', 'thats fine']","['thats fine thats', 'thats thats group', 'wherever thats something thats thats would take']"
7,21,7_people_bridge_people bridge_group,"['people', 'bridge', 'people bridge', 'group', 'participant', 'involved', 'case', 'conversation', 'sitting', 'audience']","['people', 'people', 'bit white bit grey busy lot going people little bit people conversation background thats']"
8,20,8_play_fun_game_later,"['play', 'fun', 'game', 'later', 'play game', 'playfulness', 'said', 'joy', 'guest pointing play', 'happy play']","['play', 'play role mean something come later question later wish change youre welcome try leave later please', 'there agency situation game ruined play game guest well pointing towards play game']"
9,19,9_look_explore_ah look explore_auditize look away,"['look', 'explore', 'ah look explore', 'auditize look away', 'auditize look', 'away clear frame', 'ah look', 'deal understand', 'deal', 'clear frame']","['look something', 'clear frame explore', 'ah look could']"
10,18,10_dont_dont dont_quick_direction end,"['dont', 'dont dont', 'quick', 'direction end', 'answer total', 'away dont dont', 'counter productive dont', 'away dont', 'answer total fine', 'couple minute']","['also dont', 'dont', 'thats mean thats time dont answer please total fine saying dont']"
11,17,11_possible_maybe maybe_maybe_probably,"['possible', 'maybe maybe', 'maybe', 'probably', 'answer maybe positive', 'according want', 'according want thats', 'answer maybe', 'according', 'vague potential maybe']","['theoretically possible problem', 'possible thats yet possible', 'much probably depends probably according would still want thats still bring arm send']"
12,17,12_dance_dancing_dancer_dance performance,"['dance', 'dancing', 'dancer', 'dance performance', 'dancing kira', 'dancer perspective', 'dancing people', 'cut', 'anyways', 'dont']","['mean want dance performance good want therapy dont problem depends', 'picture somehow dont would would also react movement dynamic movement dont maybe would messy maybe somehow dancer perspective would interesting maybe sound wise dont course would compose sound would let come first time would together', 'anyways something one need try easy would work might also lot predictability life unclear also well youre dance vertical must probably one foot floor anyways unless jump cannot jump long cannot stay air long nice cut dont aesthetically nice thing cut somebody']"
13,15,13_relationship_partner_perceiving partner_relationship thats,"['relationship', 'partner', 'perceiving partner', 'relationship thats', 'help perceive partner', 'perceive partner', 'help perceive', 'sentire', 'perceiving', 'depends']","['course depends whats relation person partner depends lot kind issue', 'uh already autistic let kind struggle relationship building relationship', 'much relat perceiving partner sentire sentire help perceive partner']"
